qid,original_id,topic,board_clue,correct_answer,common_trap,why_trap_is_wrong
114,115.1,Pharmacology (General Principles) (HY Adverse effects),"A 32-year-old woman, gravida 2 para 1, presents for a routine fetal anatomy scan at 20 weeks gestation.",Aplasia cutis,Cardiac septal defect,"Similar-looking mechanism/class, but not the best match for the board clue."
115,116.1,General,"A 35-year-old man with a history of major depressive disorder and generalized anxiety disorder is brought to the emergency department by his partner due to confusion, restlessness, and tremors.",Serotonin syndrome,Anticholinergic toxicity,"Similar-looking mechanism/class, but not the best match for the board clue."
116,117.1,General,A 24-year-old woman is brought to the emergency department by emergency medical services after she was found unresponsive on the grass at an outdoor music festival.,Opioid,Antihistamine,"Similar-looking mechanism/class, but not the best match for the board clue."
117,118.1,Pharmacology (General Principles) (HY Adverse effects),"A 32-year-old woman at 30 weeks gestation is brought to the emergency department with sudden-onset chest pain radiating to her back, shortness of breath, and lightheadedness.",Cocaine,Amphetamine,"Similar-looking mechanism/class, but not the best match for the board clue."
118,119.1,Pharmacology (General Principles) (HY use-cases),A 42-year-old woman presents to the emergency department with sudden shortness of breath and discomfort in her chest that worsens with breathing.,Intravenous heparin,Chest CT angiography,"Similar-looking mechanism/class, but not the best match for the board clue."
119,9.8,Pharmacology (General Principles) (HY use-cases),"A 60-year-old man presents to clinic for follow-up after three gout attacks in the past year, including a recent episode affecting his right knee that was treated with oral corticosteroids.",Allopurinol initiation,,"Similar-looking mechanism/class, but not the best match for the board clue."
120,121.1,Pharmacology (General Principles) (HY use-cases),A 26-year-old sexually active woman presents to the clinic with a 4-day history of worsening joint pain and a new rash.,Ceftriaxone,Acyclovir,"Similar-looking mechanism/class, but not the best match for the board clue."
121,122.1,Pharmacology (General Principles) (HY use-cases),A 76-year-old man is evaluated for worsening diarrhea during his hospital stay.,Oral vancomycin,Ciprofloxacin,"Similar-looking mechanism/class, but not the best match for the board clue."
122,123.1,Pharmacology (General Principles) (HY use-cases),A 56-year-old man comes to the physician because of decreased libido and bilateral breast tenderness that has worsened over the past several weeks.,Cimetidine,Metoclopramide,"Similar-looking mechanism/class, but not the best match for the board clue."
123,124.1,Pharmacology (General Principles) (HY use-cases),"A 15-year-old boy is brought to the clinic by his parents for progressive clumsiness, mood changes, and yellowing of the eyes over the past 6 months.",Penicillamine,Deferasirox,"Similar-looking mechanism/class, but not the best match for the board clue."
124,125.1,Pharmacology (General Principles) (HY use-cases),"A 45-year-old man presents to his primary care physician with 2 months of fatigue, abdominal discomfort, and intermittent diarrhea.",Dimercaprol,Atropine,"Similar-looking mechanism/class, but not the best match for the board clue."
125,126.1,General,A 32-year-old woman presents to the outpatient clinic with ongoing trouble managing her daily stress and persistent anxiety.,Sertraline,Alprazolam,"Similar-looking mechanism/class, but not the best match for the board clue."
126,127.1,Pharmacology (General Principles) (HY use-cases),"A 25-year-old previously healthy woman comes to the clinic with 4 days of cough, low-grade fever, malaise, and mild shortness of breath.",Azithromycin,Amoxicillin,"Similar-looking mechanism/class, but not the best match for the board clue."
127,128.1,General,"A 41-year-old man is brought to the emergency department by a community outreach volunteer because of fever, chills, and sore throat.",,,"Similar-looking mechanism/class, but not the best match for the board clue."
128,38.9,Pharmacology (General Principles) (Mechanisms of action),"°C (102 °F), blood pressure 108/65 mm Hg, pulse 110/min, and respiratory rate 18/min.",Stevens-Johnson syndrome,Agranulocytosis,"Similar-looking mechanism/class, but not the best match for the board clue."
129,129.1,Pharmacology (General Principles) (Mechanisms of action),"A 68-year-old man is admitted to the hospital with progressive dyspnea, orthopnea, and lower extremity swelling for one week.",Metabolic acidosis,Gynecomastia,"Similar-looking mechanism/class, but not the best match for the board clue."
130,130.1,Pharmacology (General Principles) (Mechanisms of action),A 69-year-old man is admitted to the hospital for management of a deep vein thrombosis in his left leg.,Inhibits platelet COX-1,Activates antithrombin III,"Similar-looking mechanism/class, but not the best match for the board clue."
131,132.1,Pharmacology (General Principles) (Mechanisms of action),A 34-year-old woman comes to the clinic due to progressive shortness of breath and fatigue over the past 6 months.,Endothelin receptor antagonist,Beta-2 adrenergic agonist,"Similar-looking mechanism/class, but not the best match for the board clue."
132,133.1,Pharmacology (General Principles) (Mechanisms of action),"A 44-year-old man presents to the clinic with a 3-month history of a recurring uncomfortable sensation in the chest, particularly after eating or lying down.",Irreversible inhibition of H/K ATPase,Activation of gastric parietal cell chloride channels,"Similar-looking mechanism/class, but not the best match for the board clue."
133,134.1,Pharmacology (General Principles) (Mechanisms of action),A 20-year-old woman comes to the student health clinic due to cramping lower abdominal pain that recurs monthly.,Inhibition of prostaglandin synthesis in the endometrium,Antagonism of NMDA receptors in spinal neurons,"Similar-looking mechanism/class, but not the best match for the board clue."
134,135.1,Pharmacology (General Principles) (Mechanisms of action),"A 34-year-old woman presents to the clinic with a 4-day history of worsening dry cough, low-grade fever, and malaise.",Binds the 50S ribosomal subunit and inhibits translocation,Binds the 30S ribosomal subunit and blocks initiation and translocation,"Similar-looking mechanism/class, but not the best match for the board clue."
135,136.1,Pharmacology (General Principles) (Mechanisms of action),A 52-year-old man with a long history of alcohol use disorder is admitted for evaluation of hematemesis.,Chlordiazepoxide,Carbamazepine,"Similar-looking mechanism/class, but not the best match for the board clue."
136,1.5,Pharmacology (General Principles) (Mechanisms of action),A 38-year-old woman presents to her gynecologist for contraceptive counseling.,,,"Similar-looking mechanism/class, but not the best match for the board clue."
137,137.1,Pharmacology (General Principles) (Mechanisms of action),hormonal contraceptives are contraindicated in this patient?,Estrogen-mediated upregulation of hepatic synthesis of clotting factors,Estrogen-induced reduction in platelet aggregation threshold,"Similar-looking mechanism/class, but not the best match for the board clue."
138,138.1,Pharmacology (General Principles) (Mechanisms of action),A 7-year-old boy is brought to the clinic by his mother because of recurrent perianal itching that is worse at night.,Activation of chloride ion channels leading to worm paralysis,Binding to β-tubulin to inhibit microtubule polymerization,"Similar-looking mechanism/class, but not the best match for the board clue."
139,140.1,Pharmacology (General Principles) (Mechanisms of action),A 67-year-old man presents to the cardiology clinic for evaluation of worsening chest pain.,Abciximab,Cilostazol,"Similar-looking mechanism/class, but not the best match for the board clue."
140,141.1,General,A 49-year-old man presents to the transplant medicine clinic for routine follow-up.,"Alkylation of DNA at the N7 position of guanine, leading to cross-linking and inhibition of replication","Binding to the 30S ribosomal subunit, preventing aminoacyl-tRNA from attaching during translation","Similar-looking mechanism/class, but not the best match for the board clue."
141,142.1,General,A 26-year-old woman presents to the hospital in active labor at 39 weeks of gestation.,Inhibition of 50S subunit via blockade of translocation during protein synthesis,Inhibition of 30S subunit via interference with aminoacyl-tRNA binding,"Similar-looking mechanism/class, but not the best match for the board clue."
142,143.1,Pharmacology (General Principles) (Pharmacokinetics/dynamics),A 43-year-old man comes to the clinic due to worsening symptoms of heartburn and regurgitation over the past several weeks.,Assess how much food he is eating during these occasions,Add bedtime H2-receptor antagonist,"Similar-looking mechanism/class, but not the best match for the board clue."
143,144.1,Pharmacology (General Principles) (Pharmacokinetics/dynamics),A 73-year-old woman with a history of atrial fibrillation and hypertension presents for routine follow-up.,Preexisting clotting factors must first be cleared,Dietary vitamin K intake must first be reduced,"Similar-looking mechanism/class, but not the best match for the board clue."
144,39.5,Pharmacology (General Principles) (Resistance mechanisms),A 28-year-old woman returns from a 3-week volunteer trip to a rural farming region in sub-Saharan Africa.,,,"Similar-looking mechanism/class, but not the best match for the board clue."
145,103.1,General,"°F), pulse is 110/min, blood pressure is 104/68 mmHg, and respirations are 20/min.",,,"Similar-looking mechanism/class, but not the best match for the board clue."
146,147.1,Poisoning & Environmental Exposure (Environmental exposure),A 72-year-old man is brought to the emergency department in mid-January after his neighbor found him confused and complaining of a headache and chest discomfort.,Hyperbaric oxygen therapy,Aspirin and nitroglycerin,"Similar-looking mechanism/class, but not the best match for the board clue."
147,1.5,"Renal, Urinary Systems & Electrolytes (Acute kidney injury)",A 62-year-old man presents for coronary angiography after a recent positive stress test revealed signs suggestive of ischemia.,,,"Similar-looking mechanism/class, but not the best match for the board clue."
148,148.1,"Biochemistry (General Principles) (Amino acids, proteins, and enzymes)",Administer N-acetylcysteine prior to the procedure,Discontinue lisinopril 24 hours prior,Ensure adequate hydration with isotonic fluids,"Similar-looking mechanism/class, but not the best match for the board clue."
149,11.4,Biochemistry (General Principles) (Cell and molecular biology),A 45-year-old man comes to the clinic for evaluation of persistent fatigue and early satiety over the past few months.,,,"Similar-looking mechanism/class, but not the best match for the board clue."
150,150.1,"Biochemistry (General Principles) (DNA, RNA, nucleic acid)",Which of the following best describes the mechanism of action of the most appropriate therapy for this patient?,Targets BCR-ABL tyrosine kinase,Alkylation of guanine residues,"Similar-looking mechanism/class, but not the best match for the board clue."
151,151.1,Biochemistry (General Principles) (Lipid metabolism),A 51-year-old man comes to the physician for a 2-day history of an exquisitely painful left big toe.,Promotion of uric acid excretion,"56-year-old woman is brought to the emergency department by her husband after developing sudden weakness of the right side of her body and difficulty speaking earlier today. She has a history of hypertension and hyperlipidemia managed with lisinopril and atorvastatin. She does not smoke or drink alcohol. Her temperature is 36.8°C, blood pressure is 150/84 mmHg, pulse is 82/min, and respiratory rate is 16/min. Neurologic examination reveals expressive aphasia, right facial droop sparing the forehead, and decreased strength in the right upper and lower extremities. Non-contrast CT of the head shows no evidence of hemorrhage. The onset of her symptoms was approximately 6 hours ago. She is started on medical therapy to reduce further neurologic injury. Use of this medication is contraindicated in which of the following conditions?","Similar-looking mechanism/class, but not the best match for the board clue."
152,153.1,"Biochemistry (General Principles) (Vitamins, cofactors, nutrients)",A 28-year-old man is brought to the emergency department by his roommate due to spontaneous gum bleeding and extensive bruising on his arms and legs.,"Impaired activation of clotting factors II, VII, IX, and X",Autoimmune destruction of platelets,"Similar-looking mechanism/class, but not the best match for the board clue."
153,154.1,Dermatology (Infection-related presentations),A 34-year-old male dentist presents to the clinic with a painful rash on his right index finger that began 2 days ago.,Oral acyclovir,Incision and drainage,"Similar-looking mechanism/class, but not the best match for the board clue."
154,155.1,Hematology & Oncology (Toxic drug effects),"A 27-year-old man presents to the emergency department with a 3-day history of fever, profound fatigue, and painful sores in his mouth.",Neutropenia,Diffuse erythematous maculopapular rash,"Similar-looking mechanism/class, but not the best match for the board clue."
155,156.1,Microbiology (General Principles) (Bacteriology),"A 35-year-old man presents with redness, swelling, and pain in his left hand that began 2 days ago after he cut himself while using tools.",Mutated penicillin-binding protein,Acetyltransferase enzyme B.,"Similar-looking mechanism/class, but not the best match for the board clue."
156,157.1,Microbiology (General Principles) (Bacteriology),A 34-year-old woman presents to the clinic complaining of a persistent vaginal odor and thin grayish discharge for the past 5 days.,Prescribe oral metronidazole,Begin oral fluconazole therapy,"Similar-looking mechanism/class, but not the best match for the board clue."
157,158.1,Microbiology (General Principles) (Bacteriology),A 70-year-old woman comes to the ophthalmology clinic due to progressive vision changes over the past 10 days.,Ethambutol,Isoniazid,"Similar-looking mechanism/class, but not the best match for the board clue."
158,159.1,General,A 56-year-old man with acute myeloid leukemia is admitted to the hospital for induction chemotherapy.,A,B,"Similar-looking mechanism/class, but not the best match for the board clue."
159,160.1,Microbiology (General Principles) (Mycology),A 46-year-old man presents to the clinic with a 1-week history of a burning sensation in his mouth and difficulty tasting food.,B,A,"Similar-looking mechanism/class, but not the best match for the board clue."
160,161.1,Pharmacology (General Principles) (Drug receptors),"A 22-year-old woman presents to the emergency department with nausea, vomiting, and right upper quadrant pain 16 hours after an intentional overdose of acetaminophen.",Regenerates intracellular reduced glutathione,Enhances cytochrome P450-mediated metabolism of acetaminophen,"Similar-looking mechanism/class, but not the best match for the board clue."
161,0.9,Pharmacology (General Principles) (HY Adverse effects),A 68-year-old man is admitted to the hospital for management of a complicated femoral fracture.,,,"Similar-looking mechanism/class, but not the best match for the board clue."
162,2.1,Pharmacology (General Principles) (HY Adverse effects),mg/dL.,,,"Similar-looking mechanism/class, but not the best match for the board clue."
163,5.2,Pharmacology (General Principles) (HY Adverse effects),mEq/L.,,,"Similar-looking mechanism/class, but not the best match for the board clue."
164,163.1,General,Cefepime,Gentamicin,Ciprofloxacin,"Similar-looking mechanism/class, but not the best match for the board clue."
165,164.1,Pharmacology (General Principles) (HY Adverse effects),A 39-year-old man presents to the emergency department due to persistent penile discomfort that began earlier in the day.,Alpha-1 adrenergic antagonists,Anticholinergic agents,"Similar-looking mechanism/class, but not the best match for the board clue."
166,168.1,General,A 62-year-old woman presents with gradually worsening shortness of breath.,Pulmonary fibrosis,Acute interstitial pneumonia,"Similar-looking mechanism/class, but not the best match for the board clue."
167,169.1,Pharmacology (General Principles) (HY Adverse effects),A 29-year-old woman comes to the clinic for follow-up of primary infertility.,Ovarian torsion,Acute appendicitis,"Similar-looking mechanism/class, but not the best match for the board clue."
168,170.1,Pharmacology (General Principles) (HY use-cases),A 29-year-old man is diagnosed with cluster headache after presenting with severe right-sided periorbital pain that consistently awakens him from sleep.,Verapamil,Amitriptyline,"Similar-looking mechanism/class, but not the best match for the board clue."
169,171.1,General,A 28-year-old woman comes to the physician because of a 6-month history of progressive shortness of breath and dry cough.,Diffuse interstitial fibrosis with lymphocytic infiltration,Charcot-Leyden eosinophilic crystalline infiltration,"Similar-looking mechanism/class, but not the best match for the board clue."
170,172.1,Pharmacology (General Principles) (HY use-cases),A 76-year-old man comes to the clinic for routine follow-up.,Add dabigatran,Add flecainide,"Similar-looking mechanism/class, but not the best match for the board clue."
171,173.1,General,A 29-year-old man comes to the clinic for follow-up due to ongoing respiratory symptoms.,Add inhaled fluticasone to his regimen,Begin oral montelukast therapy,"Similar-looking mechanism/class, but not the best match for the board clue."
172,174.1,Pharmacology (General Principles) (HY use-cases),A 6-month-old girl born at 36 weeks' gestation is evaluated as part of her pediatric screening.,Penicillin,"56-year-old man is evaluated in the cardiology clinic for recurrent episodes of substernal chest discomfort. He describes the pain as tight and pressure-like, occurring primarily at rest and sometimes waking him from sleep. He denies exertional angina and reports that exercise tolerance has not significantly changed. His history is significant for long-standing hypertension and hyperlipidemia, but he has no history of diabetes or smoking. Medications include a statin and a thiazide diuretic. Physical examination today is unremarkable, and his resting ECG is normal. Stress testing shows no ischemic changes during exercise. To further evaluate his symptoms, a coronary angiography is performed with intracoronary acetylcholine infusion. Which of the following best describes the expected vascular response in this patient?","Similar-looking mechanism/class, but not the best match for the board clue."
173,175.1,Pharmacology (General Principles) (HY use-cases),,Coronary vasoconstriction,Arteriolar vasodilation,"Similar-looking mechanism/class, but not the best match for the board clue."
174,176.1,General,A 24-year-old man presents with a rash that has been coming and going for several years.,,Chronic oral prednisone therapy for long-term suppression,"Similar-looking mechanism/class, but not the best match for the board clue."
175,177.1,Pharmacology (General Principles) (HY use-cases),"A 33-year-old woman presents with complaints of fatigue, palpitations, and unintentional weight loss over the past two months.",Blockade of iodination and coupling reactions in thyroid hormone synthesis,Destruction of thyroid follicular cells via radioactive uptake,"Similar-looking mechanism/class, but not the best match for the board clue."
176,0.9,Pharmacology (General Principles) (Mechanisms of action),A 54-year-old man comes to the clinic for follow-up after starting a new blood pressure medication.,,,"Similar-looking mechanism/class, but not the best match for the board clue."
177,2.6,Pharmacology (General Principles) (Mechanisms of action),mg/dL and no proteinuria or hematuria.,,,"Similar-looking mechanism/class, but not the best match for the board clue."
178,180.1,Pharmacology (General Principles) (Mechanisms of action),A 66-year-old man presents to the emergency department with sudden-onset substernal chest pain radiating to his left arm and jaw.,Atropine,Adenosine,"Similar-looking mechanism/class, but not the best match for the board clue."
179,181.1,Pharmacology (General Principles) (Mechanisms of action),A 36-year-old woman is brought to the emergency department by her neighbor after collapsing while spraying insecticide in her backyard garden.,Administer intravenous atropine,Administer epinephrine,"Similar-looking mechanism/class, but not the best match for the board clue."
180,2.0,Pharmacology (General Principles) (Mechanisms of action),A 12-year-old boy with newly diagnosed acute lymphoblastic leukemia is admitted for induction chemotherapy.,,Activates xanthine oxidase,"Similar-looking mechanism/class, but not the best match for the board clue."
181,182.1,Pharmacology (General Principles) (Mechanisms of action),,Oxidizes uric acid into a more soluble compound,Alkalinizes the urine,"Similar-looking mechanism/class, but not the best match for the board clue."
182,183.1,Pharmacology (General Principles) (Mechanisms of action),A 57-year-old man presents to the emergency department with sudden-onset right-sided weakness and slurred speech that began approximately 30 minutes ago.,Binding bile acids to promote fecal cholesterol loss,Activating PPAR-alpha to enhance triglyceride clearance,"Similar-looking mechanism/class, but not the best match for the board clue."
183,185.1,General,A 13-year-old boy is brought to the clinic for evaluation of persistent nighttime coughing and difficulty breathing during exercise.,Selectively blocks leukotriene receptors,Activates β2-adrenergic receptors on bronchial smooth muscle,"Similar-looking mechanism/class, but not the best match for the board clue."
184,186.1,Pharmacology (General Principles) (Mechanisms of action),A 62-year-old man comes to the clinic due to pain and tightness in his lower legs that consistently occurs when he walks a few blocks and improves with rest.,Cilostazol,Aspirin,"Similar-looking mechanism/class, but not the best match for the board clue."
185,187.1,Pharmacology (General Principles) (Mechanisms of action),,Oral diazepam,Oral buspirone,"Similar-looking mechanism/class, but not the best match for the board clue."
186,188.1,Pharmacology (General Principles) (Mechanisms of action),A 35-year-old man is brought to the emergency department after a motor vehicle collision.,Antagonist at NMDA receptors,Agonist at μ-opioid receptors,"Similar-looking mechanism/class, but not the best match for the board clue."
187,189.1,Pharmacology (General Principles) (Mechanisms of action),A 62-year-old man comes to the clinic for follow-up regarding chronic foot pain.,Substance P,Acetylcholine,"Similar-looking mechanism/class, but not the best match for the board clue."
188,190.1,Pharmacology (General Principles) (Mechanisms of action),"A 59-year-old man with a history of hypertension, hyperlipidemia, and coronary artery disease presents for follow-up after undergoing percutaneous coronary intervention with placement of a drug-eluting stent (DES) in the left anterior descending artery 3 months ago.",Prevention of smooth muscle cell proliferation within the intima,Inhibition of collagen cross-linking in the extracellular matrix,"Similar-looking mechanism/class, but not the best match for the board clue."
189,0.7,Pharmacology (General Principles) (Mechanisms of action),A 47-year-old woman is evaluated for intermittent right upper quadrant discomfort that occurs after meals and is associated with bloating.,,,"Similar-looking mechanism/class, but not the best match for the board clue."
190,191.1,Pharmacology (General Principles) (Mechanisms of action),drug?,Increased enterohepatic circulation of bile salts,Conversion of cholesterol into bile acids via 7α-hydroxylase induction,"Similar-looking mechanism/class, but not the best match for the board clue."
191,193.1,Pharmacology (General Principles) (Mechanisms of action),A 48-year-old woman comes to the clinic for evaluation of persistent fatigue and occasional dizziness over the past few weeks.,Decreased urinary calcium,Decreased serum pH,"Similar-looking mechanism/class, but not the best match for the board clue."
192,194.1,Pharmacology (General Principles) (Mechanisms of action),"A 41-year-old man comes to the clinic during winter because of fever, generalized myalgias, and profound fatigue that began abruptly 24 hours ago.",Neuraminidase inhibition,DNA-dependent RNA polymerase inhibition,"Similar-looking mechanism/class, but not the best match for the board clue."
193,195.1,Pharmacology (General Principles) (Mechanisms of action),"A 7-year-old girl is brought to the clinic because of frequent episodes during which she suddenly stops her activity, stares blankly ahead, and becomes unresponsive for several seconds.",Blocks voltage-gated calcium channels,Blocks AMPA glutamate receptors,"Similar-looking mechanism/class, but not the best match for the board clue."
194,196.1,Pharmacology (General Principles) (Mechanisms of action),"A 62-year-old man presents for evaluation of a dry, nonproductive cough that began 4 weeks ago.",Adverse effect of medication,Chronic gastroesophageal reflux disease,"Similar-looking mechanism/class, but not the best match for the board clue."
195,197.1,Pharmacology (General Principles) (Pharmacokinetics/dynamics),A 66-year-old man presents to the emergency department with chest discomfort that began several hours ago.,aPTT,Bleeding time,"Similar-looking mechanism/class, but not the best match for the board clue."
196,198.1,Pharmacology (General Principles) (Pharmacokinetics/dynamics),A 64-year-old man comes to the clinic for follow-up after being diagnosed with a deep vein thrombosis (DVT) in his left leg 3 weeks ago.,Less affected by disruptions in gut bacterial flora,Less nephrotoxic in patients with impaired renal function,"Similar-looking mechanism/class, but not the best match for the board clue."
197,37.0,Biochemistry (General Principles) (Bioenergetics and carbohydrate metabolism),A 22-year-old college student is brought to the emergency department by her roommate after being found drowsy and nauseated several hours after reportedly ingesting an unknown number of over-the- counter pain tablets.,,,"Similar-looking mechanism/class, but not the best match for the board clue."
198,200.1,Biochemistry (General Principles) (Lipid metabolism),A 25-year-old man comes to the clinic due to recurrent episodes of abdominal pain over the past three months.,Fibrate,Bile acid sequestrant,"Similar-looking mechanism/class, but not the best match for the board clue."
199,201.1,Biochemistry (General Principles) (Lipid metabolism),"A 6-year-old boy is brought to the emergency department by his mother due to persistent vomiting, confusion, and lethargy.",Disruption of oxidative phosphorylation and fatty acid β-oxidation,Activation of caspases leading to hepatocyte apoptosis,"Similar-looking mechanism/class, but not the best match for the board clue."
200,202.1,Biochemistry (General Principles) (Receptors & extracellular matrix molecules),A 29-year-old man is brought to the emergency department shortly after being stung by a wasp while hiking.,Stimulation of alpha-1 receptors increases systemic vascular tone,Activation of beta-1 receptors increases heart rate,"Similar-looking mechanism/class, but not the best match for the board clue."
201,203.1,Biochemistry (General Principles) (Receptors & extracellular matrix molecules),A 69-year-old man is brought to the emergency department after being found unresponsive at home Hg.,Glucagon-mediated increase in cAMP,Insulin-mediated upregulation of GLUT-4,"Similar-looking mechanism/class, but not the best match for the board clue."
202,204.1,"Biochemistry (General Principles) (Vitamins, cofactors, nutrients)",A 42-year-old woman comes to the clinic due to persistent loose stools over the past two weeks.,Oral supplement adverse effect,Bowel wall inflammation,"Similar-looking mechanism/class, but not the best match for the board clue."
203,205.1,Microbiology (General Principles) (Bacteriology),"A 25-year-old woman presents to the emergency department with a 10-day history of dry cough, mild fever, and fatigue.",Macrolide antibiotic,Beta-lactam antibiotic,"Similar-looking mechanism/class, but not the best match for the board clue."
204,206.1,Microbiology (General Principles) (Bacteriology),"A 54-year-old woman with a 6-month history of severe rheumatoid arthritis is started on rituximab after failing to improve with methotrexate, inflixmab, prednisone, and diclofenac.",Invasive bacterial pneumonia,"25-year-old man presents to the clinic with complaints of skin discoloration on his back that has progressively worsened over the past several months. He is otherwise healthy, with no significant medical history. He reports that the condition worsens during the summer, especially after outdoor activities or sweating. Physical examination findings are shown below. A KOH preparation of a skin scraping demonstrates both hyphae and spores described as having a “spaghetti and meatballs” appearance.","Similar-looking mechanism/class, but not the best match for the board clue."
205,207.1,Microbiology (General Principles) (Mycology),Which of the following is the most appropriate pharmacologic treatment?,Selenium sulfide,Clindamycin,"Similar-looking mechanism/class, but not the best match for the board clue."
206,208.1,Microbiology (General Principles) (Parasitology),"A 29-year-old woman comes to the clinic because of a 10-day history of loose, greasy stools, increased flatulence, and cramping abdominal pain.",Metronidazole,Ciprofloxacin,"Similar-looking mechanism/class, but not the best match for the board clue."
207,209.1,Pharmacology (General Principles) (Anesthesia),A 34-year-old man is brought to the emergency department after a high-speed car accident in which he sustained multiple lacerations and a fractured tibia.,Ketamine,Diazepam,"Similar-looking mechanism/class, but not the best match for the board clue."
208,210.1,Pharmacology (General Principles) (Drug metabolism),A 67-year-old man is admitted for treatment of a prosthetic joint infection.,The trough level is insufficient to maintain bactericidal activity against this organism,Drug X forms an irreversible covalent bond with the enzyme,"Similar-looking mechanism/class, but not the best match for the board clue."
209,211.1,Pharmacology (General Principles) (Drug metabolism),,First-order kinetics are observed,Drug X metabolism is inhibited by competitive binding,"Similar-looking mechanism/class, but not the best match for the board clue."
210,212.1,Pharmacology (General Principles) (Drug receptors),A 38-year-old woman comes to the clinic with gradually worsening shortness of breath and fatigue over the past year.,Inhibits endothelin-1 receptors,Antagonizes alpha-1 adrenergic receptors,"Similar-looking mechanism/class, but not the best match for the board clue."
211,213.1,Pharmacology (General Principles) (HY Adverse effects),A 49-year-old woman with a 6-year history of rheumatoid arthritis presents with progressive shortness of breath.,Pulmonary fibrosis due to rheumatoid arthritis,Methotrexate-induced interstitial lung disease,"Similar-looking mechanism/class, but not the best match for the board clue."
212,3.4,General,"A 26-year-old man with a recent diagnosis of bipolar I disorder is brought to the emergency department by his roommate due to confusion, lethargy, and vomiting.",,,"Similar-looking mechanism/class, but not the best match for the board clue."
213,214.1,Pharmacology (General Principles) (HY Adverse effects),INR,,,"Similar-looking mechanism/class, but not the best match for the board clue."
214,216.1,Pharmacology (General Principles) (HY Adverse effects),A 42-year-old woman presents to the emergency department with rapidly worsening skin pain and widespread areas of peeling over the past 2 days.,Toxic epidermal necrolysis,Disseminated herpes simplex virus infection,"Similar-looking mechanism/class, but not the best match for the board clue."
215,217.1,Pharmacology (General Principles) (HY Adverse effects),"A 54-year-old man is brought to the emergency department by his son due to altered mental status, sweating, and muscle stiffness that began earlier today.",Discontinue risperidone,Administer haloperidol,"Similar-looking mechanism/class, but not the best match for the board clue."
216,218.1,Pharmacology (General Principles) (HY use-cases),A 34-year-old man collapses while gardening in his backyard during a warm summer afternoon.,Epinephrine intramuscular injection,Albuterol nebulization,"Similar-looking mechanism/class, but not the best match for the board clue."
217,2.8,Pharmacology (General Principles) (HY use-cases),A 68-year-old woman comes to the clinic for routine follow-up.,,,"Similar-looking mechanism/class, but not the best match for the board clue."
218,219.1,Pharmacology (General Principles) (HY use-cases),Alendronate,Denosumab,Calcitonin,"Similar-looking mechanism/class, but not the best match for the board clue."
219,220.1,Pharmacology (General Principles) (HY use-cases),A 28-year-old woman presents to the clinic with 3 days of right eye pain and blurred vision.,Natalizumab,Baclofen,"Similar-looking mechanism/class, but not the best match for the board clue."
220,222.1,Pharmacology (General Principles) (HY use-cases),A 76-year-old man comes to the clinic due to progressive left hip pain over the past 6 months.,Acetaminophen,Celecoxib,"Similar-looking mechanism/class, but not the best match for the board clue."
221,223.1,Pharmacology (General Principles) (HY use-cases),A 62-year-old woman comes to the clinic due to persistent chest discomfort and difficulty swallowing over the past week.,Adverse effect of medication,Achalasia,"Similar-looking mechanism/class, but not the best match for the board clue."
222,224.1,Pharmacology (General Principles) (HY use-cases),"A 33-year-old woman comes to the physician because of a 2-day history of fever, sore throat, and fatigue.",Methimazole,Levothyroxine,"Similar-looking mechanism/class, but not the best match for the board clue."
223,225.1,Pharmacology (General Principles) (HY use-cases),"A 38-year-old man presents to the emergency department with worsening shortness of breath, a nonproductive cough, and low-grade fever for the past 9 days.",Trimethoprim-sulfamethoxazole,Azithromycin,"Similar-looking mechanism/class, but not the best match for the board clue."
224,12.3,Pharmacology (General Principles) (HY use-cases),A 38-year-old woman returns to the clinic for follow-up 10 days after being diagnosed with immune thrombocytopenic purpura (ITP).,,,"Similar-looking mechanism/class, but not the best match for the board clue."
225,227.1,Pharmacology (General Principles) (HY use-cases),"A 69-year-old man is brought to clinic by his daughter, who is concerned that he continues to struggle with fine hand movements, facial expressiveness, and slow steps despite faithfully taking his prescribed medications.",Monoamine oxidase,Acyl-CoA dehydrogenase,"Similar-looking mechanism/class, but not the best match for the board clue."
226,228.1,Pharmacology (General Principles) (HY use-cases),A 30-year-old man is brought to the emergency department by his roommate due to several days of increasingly erratic behavior.,Lithium,Bupropion,"Similar-looking mechanism/class, but not the best match for the board clue."
227,229.1,Pharmacology (General Principles) (HY use-cases),A 56-year-old woman presents to the clinic with gradually worsening shortness of breath over the past 4 months.,Pulmonary fibrosis,Chronic obstructive pulmonary disease,"Similar-looking mechanism/class, but not the best match for the board clue."
228,230.1,Pharmacology (General Principles) (Mechanisms of action),A 25-year-old flight attendant begins taking an over-the-counter “nighttime allergy” tablet each evening during a week of red-eye flights.,H₁ antagonism,α₁ agonism,"Similar-looking mechanism/class, but not the best match for the board clue."
229,8.4,Pharmacology (General Principles) (Mechanisms of action),A 28-year-old man with recently diagnosed acute leukemia is admitted for induction chemotherapy.,,,"Similar-looking mechanism/class, but not the best match for the board clue."
230,231.1,Pharmacology (General Principles) (Mechanisms of action),Erythropoietin,Granulocyte colony-stimulating factor,Interleukin-2,"Similar-looking mechanism/class, but not the best match for the board clue."
231,4.8,Pharmacology (General Principles) (Mechanisms of action),A 70-year-old man comes to the clinic for a routine follow-up.,,,"Similar-looking mechanism/class, but not the best match for the board clue."
